indexDados;codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;horarioSeparado;percDisciplina;salaSeparada;predio;lotacao;percOcupacaoReal;percOcupacaoTotal
207;FGA0161 - ENGENHARIA E AMBIENTE;2;2022;2;JOSIANE DO SOCORRO AGUIAR DE SOUZA DE OLIVEIRA CAMPOS;60h;24T45;240;111;FGA - SALA ANFITEATRO;;;Anfiteatro;;;;
208;FGA0161 - ENGENHARIA E AMBIENTE;3;2022;2;FERNANDO PAIVA SCARDUA;60h;35M34;130;82;FGA - SALA S1;;;S1;;;;
209;FGA0163 - INTRODUÇÃO À ENGENHARIA;1;2022;2;RAFAEL RODRIGUES DA SILVA;30h;2M12;240;80;FGA - SALA ANFITEATRO;;;Anfiteatro;;;;
210;FGA0163 - INTRODUÇÃO À ENGENHARIA;2;2022;2;RONNE TOLEDO;30h;2T23;130;113;FGA - SALA S3;;;S3;;;;
211;FGA0163 - INTRODUÇÃO À ENGENHARIA;3;2022;2;MARCELINO MONTEIRO DE ANDRADE;30h;4T23;130;88;FGA - SALA ANFITEATRO;;;Anfiteatro;;;;
212;FGA0164 - HUMANIDADES E CIDADANIA;1;2022;2;VANESSA MARIA DE CASTRO;60h;35T23;80;72;FGA - SALA S2;;;S2;;;;
213;FGA0164 - HUMANIDADES E CIDADANIA;2;2022;2;SANDRA MARIA FALEIROS LIMA;60h;46T23;45;45;FGA - SALA I1;;;I1;;;;
214;FGA0164 - HUMANIDADES E CIDADANIA;3;2022;2;VANESSA MARIA DE CASTRO;60h;35T45;80;75;FGA - SALA S2;;;S2;;;;
215;FGA0164 - HUMANIDADES E CIDADANIA;4;2022;2;SANDRA MARIA FALEIROS LIMA;60h;46M5 46T1;80;75;FGA - SALA S2;;;S2;;;;
216;FGA0164 - HUMANIDADES E CIDADANIA;5;2022;2;SANDRA MARIA FALEIROS LIMA;60h;46T45;60;54;FGA - SALA S4;;;S4;;;;
217;FGA0164 - HUMANIDADES E CIDADANIA;6;2022;2;MÁRCIO HENRIQUE DE CARVALHO;60h;6M1234;80;68;FGA - SALA ANFITEATRO;;;Anfiteatro;;;;
218;FGA0164 - HUMANIDADES E CIDADANIA;7;2022;2;MÁRCIO HENRIQUE DE CARVALHO;60h;24M12;60;54;FGA - SALA I2;;;I2;;;;
219;FGA0166 - ELEMENTOS E MÉTODOS EM ELETRÔNICA;1;2022;2;FABIANO ARAUJO SOARES;60h;35T23;60;17;FGA - SALA I2;;;I2;;;;
220;FGA0167 - SISTEMAS AUTOMOTIVOS;1;2022;2;SALEH BARBOSA KHALIL;60h;46M34;45;42;FGA - SALA S2 E S1;;;S2;;;;
221;FGA0167 - SISTEMAS AUTOMOTIVOS;1;2022;2;SALEH BARBOSA KHALIL;60h;46M34;45;42;FGA - SALA S2 E S1;;;S1;;;;
222;FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR;1;2022;2;HIMILSYS HERNANDEZ GONZALEZ;30h;246M12;70;39;FGA - SALA I10;;;I10;;;;
223;FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR;1;2022;2;SALEH BARBOSA KHALIL;60h;246M12;70;39;FGA - SALA I10;;;I10;;;;
224;FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR;2;2022;2;CRISTIAN VENDITTOZZI;90h;235M34;70;62;FGA - SALA I10;;;I10;;;;
225;FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR;3;2022;2;MATEUS RODRIGUES MIRANDA;90h;356T45;70;43;FGA - SALA S10;;;S10;;;;
226;FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR;4;2022;2;HIMILSYS HERNANDEZ GONZALEZ;90h;235M34;70;56;FGA - SALA S10;;;S10;;;;
227;FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR;5;2022;2;ENEIDA GONZALEZ VALDES;90h;246M12;75;58;FGA - SALA S10;;;S10;;;;
